Jugador,Contrato,Equipo
Mookie Betts,"$22,000,000",LAD
Freddie Freeman,"$20,000,000",LAD
Teoscar Hernandez,"$23,500,000",LAD
Chris Taylor,"$13,000,000",LAD
Will Smith,"$38,550,000",LAD
Max Muncy,"$12,000,000",LAD
Yoshinobu Yamamoto,"$55,000,000",LAD
Walker Buehler,"$8,025,000",LAD
Joe Kelly,"$8,000,000",LAD
Miguel Rojas,"$5,000,000",LAD
Jack Flaherty,"$5,166,666",LAD
Ryan Brasier,"$4,500,000",LAD
Enrique Hernandez,"$4,000,000",LAD
Evan Phillips,"$4,000,000",LAD
Austin Barnes,"$3,500,000",LAD
Tommy Edman,"$2,470,968",LAD
Shohei Ohtani,"$2,000,000",LAD
Daniel Hudson,"$2,000,000",LAD
Kevin Kiermaier,"$1,840,000",LAD
Gavin Lux,"$1,225,000",LAD
Michael Kopech,"$1,016,129",LAD
Blake Treinen,"$1,000,000",LAD
Alex Vesia,"$1,000,000",LAD
Andy Pages,"$608,634",LAD
Anthony Banda,"$529,074",LAD
James Outman,"$335,340",LAD
Landon Knack,"$294,372",LAD
Edgardo Henriquez,"$19,890",LAD
Francisco Lindor,"$27,000,000",NYM
Starling Marte,"$19,500,000",NYM
Pete Alonso,"$20,500,000",NYM
Brandon Nimmo,"$20,250,000",NYM
Sean Manaea,"$14,500,000",NYM
Luis Severino,"$14,250,000",NYM
Edwin Diaz,"$11,750,000",NYM
Jose Quintana,"$13,000,000",NYM
Harrison Bader,"$10,500,000",NYM
J.D. Martinez,"$4,500,000",NYM
Adam Ottavino,"$4,500,000",NYM
Phil Maton,"$2,755,364",NYM
David Peterson,"$2,150,000",NYM
Tyrone Taylor,"$2,025,000",NYM
Ryne Stanek,"$1,919,355",NYM
Jose Iglesias,-,NYM
Luis Torrens,"$787,097",NYM
Francisco Alvarez,"$762,500",NYM
Reed Garrett,"$720,018",NYM
Jesse Winker,"$2,000,000",NYM
Danny Young,"$564,876",NYM
Mark Vientos,"$556,920",NYM
Tylor Megill,"$543,840",NYM
Jose Butto,"$477,360",NYM
Alex Young,"$461,538",NYM
Huascar Brazoban,"$242,880",NYM
Eddy Alvarez,"$79,560",NYM
Luisangel Acuna,"$59,670",NYM
Aaron Judge,"$40,000,000",NYY
Gerrit Cole,"$36,000,000",NYY
Giancarlo Stanton,"$32,000,000",NYY
Juan Soto,"$31,000,000",NYY
Carlos Rodon,"$27,000,000",NYY
Marcus Stroman,"$19,000,000",NYY
Anthony Rizzo,"$17,000,000",NYY
Gleyber Torres,"$14,200,000",NYY
Alex Verdugo,"$9,200,000",NYY
Clay Holmes,"$6,050,000",NYY
Tommy Kahnle,"$5,750,000",NYY
Trent Grisham,"$5,500,000",NYY
Jon Berti,"$3,625,000",NYY
Jose Trevino,"$2,730,000",NYY
Luke Weaver,"$2,250,000",NYY
Clarke Schmidt,"$2,025,000",NYY
Ian Hamilton,"$923,050",NYY
Jazz Chisholm,"$903,232",NYY
Anthony Volpe,"$810,100",NYY
Oswaldo Cabrera,"$783,000",NYY
Luis Gil,"$750,000",NYY
Austin Wells,"$750,000",NYY
Mark Leiter Jr.,"$500,000",NYY
Tim Hill,"$401,778",NYY
Jasson Domínguez,"$392,980",NYY
Ben Rice,"$302,328",NYY
Tim Mayza,"$175,032",NYY
Clayton Beeter,"$43,758",NYY
Jose Altuve,"$41,000,000",HOU
Alex Bregman,"$28,500,000",HOU
Justin Verlander,"$22,544,808",HOU
Josh Hader,"$19,000,000",HOU
Ryan Pressly,"$14,000,000",HOU
Framber Valdez,"$12,100,000",HOU
Kyle Tucker,"$12,000,000",HOU
Yordan Alvarez,"$10,000,000",HOU
Victor Caratini,"$6,000,000",HOU
Mauricio Dubon,"$3,500,000",HOU
Yusei Kikuchi,"$3,387,097",HOU
Bryan Abreu,"$1,750,000",HOU
Jon Singleton,"$850,000",HOU
Caleb Ferguson,"$800,000",HOU
Jeremy Pena,"$783,500",HOU
Hunter Brown,"$774,500",HOU
Yainer Diaz,"$768,900",HOU
Jake Meyers,"$767,300",HOU
Ronel Blanco,"$749,800",HOU
Spencer Arrighetti,"$664,326",HOU
Grae Kessinger,"$343,140",HOU
Bryan King,"$338,130",HOU
Kaleb Ort,"$266,526",HOU
César Salazar,"$230,724",HOU
Hector Neris,"$143,208",HOU
Zach Dezenzo,"$131,274",HOU
Jason Heyward,"$123,318",HOU
Ryan Gusto,"$3,978",HOU
Bryce Harper,"$26,050,000",PHI
Trea Turner,"$27,322,727",PHI
Aaron Nola,"$24,571,428",PHI
J.T. Realmuto,"$23,875,000",PHI
Zack Wheeler,"$23,500,000",PHI
Nick Castellanos,"$20,000,000",PHI
Kyle Schwarber,"$20,000,000",PHI
Taijuan Walker,"$18,000,000",PHI
Jose Alvarado,"$9,000,000",PHI
Matt Strahm,"$7,550,000",PHI
Ranger Suarez,"$5,050,000",PHI
Alec Bohm,"$4,000,000",PHI
Carlos Estevez,"$2,322,560",PHI
Austin Hays,"$2,201,615",PHI
Jeff Hoffman,"$2,200,000",PHI
Edmundo Sosa,"$1,700,000",PHI
Kolby Allard,"$1,025,000",PHI
Garrett Stubbs,"$850,000",PHI
Jose Ruiz,"$801,075",PHI
Bryson Stott,"$768,000",PHI
Brandon Marsh,"$766,500",PHI
Cristopher Sanchez,"$753,500",PHI
Orion Kerkering,"$742,500",PHI
Johan Rojas,"$700,875",PHI
Kody Clemens,"$385,866",PHI
Weston Wilson,"$361,998",PHI
Tanner Banks,"$243,540",PHI
Buddy Kennedy,"$55,692",PHI
Cody Bellinger,"$27,500,000",CHC
Dansby Swanson,"$25,000,000",CHC
Ian Happ,"$20,000,000",CHC
Seiya Suzuki,"$20,000,000",CHC
Jameson Taillon,"$18,000,000",CHC
Kyle Hendricks,"$16,500,000",CHC
Nico Hoerner,"$11,500,000",CHC
Drew Smyly,"$10,500,000",CHC
