Equipo,Salario Total
LAD,"$326,962,251"
NYM,"$323,718,104"
NYY,"$320,606,131"
HOU,"$284,425,950"
PHI,"$260,303,043"
CHC,"$248,039,875"
ATL,"$246,279,207"
SF,"$240,797,732"
TEX,"$236,598,007"
TOR,"$233,710,585"
BOS,"$208,704,226"
LAA,"$191,658,865"
STL,"$191,560,192"
ARI,"$188,655,371"
SD,"$183,188,742"
COL,"$169,469,446"
CHW,"$155,100,047"
SEA,"$155,015,451"
MIN,"$151,586,340"
KC,"$149,327,740"
WSH,"$145,310,606"
BAL,"$140,486,004"
MIL,"$137,413,319"
CLE,"$129,689,253"
CIN,"$127,396,130"
DET,"$116,038,281"
MIA,"$112,565,305"
PIT,"$107,062,514"
TB,"$102,665,109"
OAK,"$84,201,481"
